"","expvar","ASVR","aic","bic","logl"
"fa1",36.339,36.07,94099.941,95495.32,-46844.971
"fa2",55.459,48.405,94081.722,95933.151,-46768.861
"fa3",65.583,60.625,94068.091,96368.763,-46696.045
"fa4",78.506,75.615,94025.474,96768.583,-46609.737
